epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,281.061,1.22316,1.25341,1.07512,0.81271,0.70968,0.80301,0.36802,1.80456,1.82789,1.32253,0.0011882,0.0011882,0.0011882
43,287.53,1.32141,1.04635,1.06044,0.8542,0.67742,0.79609,0.38883,1.78285,1.57091,1.32031,0.0011684,0.0011684,0.0011684
44,295.218,1.22319,1.07831,1.01205,0.8542,0.67742,0.79609,0.38883,1.78285,1.57091,1.32031,0.0011486,0.0011486,0.0011486
45,302.041,1.31456,1.19877,1.04578,0.8542,0.67742,0.79609,0.38883,1.78285,1.57091,1.32031,0.0011288,0.0011288,0.0011288
46,308.497,1.28237,1.15929,1.04474,0.8381,0.66823,0.79203,0.38194,1.76451,1.4682,1.27491,0.001109,0.001109,0.001109
47,315.091,1.22833,1.01682,1.04776,0.8381,0.66823,0.79203,0.38194,1.76451,1.4682,1.27491,0.0010892,0.0010892,0.0010892
48,321.795,1.19799,0.99098,1.02972,0.8381,0.66823,0.79203,0.38194,1.76451,1.4682,1.27491,0.0010694,0.0010694,0.0010694
49,328.354,1.26874,1.07039,1.03977,0.8381,0.66823,0.79203,0.38194,1.76451,1.4682,1.27491,0.0010496,0.0010496,0.0010496
50,334.909,1.34664,1.11074,1.08134,0.84627,0.6129,0.75171,0.38149,1.80073,1.4745,1.28763,0.0010298,0.0010298,0.0010298
51,341.33,1.23915,1.05747,1.06026,0.84627,0.6129,0.75171,0.38149,1.80073,1.4745,1.28763,0.00101,0.00101,0.00101
52,347.761,1.16056,0.93132,0.98186,0.84627,0.6129,0.75171,0.38149,1.80073,1.4745,1.28763,0.0009902,0.0009902,0.0009902
53,354.217,1.18112,0.9787,1.00788,0.65656,0.70968,0.74189,0.36161,1.84648,1.50993,1.33223,0.0009704,0.0009704,0.0009704
54,360.568,1.18008,0.98188,0.99562,0.65656,0.70968,0.74189,0.36161,1.84648,1.50993,1.33223,0.0009506,0.0009506,0.0009506
55,367,1.24943,1.00547,1.03316,0.65656,0.70968,0.74189,0.36161,1.84648,1.50993,1.33223,0.0009308,0.0009308,0.0009308
56,373.42,1.20135,0.94644,1.00514,0.57541,0.74194,0.6853,0.32484,1.84426,1.59007,1.33021,0.000911,0.000911,0.000911
57,379.831,1.18057,0.9664,0.99759,0.57541,0.74194,0.6853,0.32484,1.84426,1.59007,1.33021,0.0008912,0.0008912,0.0008912
58,386.271,1.15288,0.94277,1.00079,0.57541,0.74194,0.6853,0.32484,1.84426,1.59007,1.33021,0.0008714,0.0008714,0.0008714
59,392.689,1.18505,1.02659,1.03751,0.58408,0.77419,0.66949,0.3206,1.85625,1.61113,1.32501,0.0008516,0.0008516,0.0008516
60,400.394,1.19525,0.94895,1.03946,0.58408,0.77419,0.66949,0.3206,1.85625,1.61113,1.32501,0.0008318,0.0008318,0.0008318
61,407.736,1.14398,1.13047,1.06277,0.58408,0.77419,0.66949,0.3206,1.85625,1.61113,1.32501,0.000812,0.000812,0.000812
62,414.307,1.04723,0.88307,1.00487,0.59916,0.74194,0.68468,0.32492,1.86033,1.51839,1.3243,0.0007922,0.0007922,0.0007922
63,422.092,1.10799,0.92739,0.98632,0.59916,0.74194,0.68468,0.32492,1.86033,1.51839,1.3243,0.0007724,0.0007724,0.0007724
64,429.041,1.18265,0.87634,1.01889,0.59916,0.74194,0.68468,0.32492,1.86033,1.51839,1.3243,0.0007526,0.0007526,0.0007526
65,435.592,1.11768,0.89668,1.0222,0.59916,0.74194,0.68468,0.32492,1.86033,1.51839,1.3243,0.0007328,0.0007328,0.0007328
66,442.195,1.15295,0.85079,0.99712,0.67056,0.70968,0.71292,0.34974,1.87986,1.4715,1.32945,0.000713,0.000713,0.000713
67,448.718,1.14292,0.90448,1.01143,0.67056,0.70968,0.71292,0.34974,1.87986,1.4715,1.32945,0.0006932,0.0006932,0.0006932
68,455.328,1.12301,0.92062,0.9996,0.67056,0.70968,0.71292,0.34974,1.87986,1.4715,1.32945,0.0006734,0.0006734,0.0006734
69,461.906,1.08171,0.91772,1.04347,0.69717,0.66859,0.71985,0.35522,1.79818,1.4525,1.28359,0.0006536,0.0006536,0.0006536
70,468.561,1.06093,0.85204,0.9805,0.69717,0.66859,0.71985,0.35522,1.79818,1.4525,1.28359,0.0006338,0.0006338,0.0006338
